Timestamp,Sprint,Item ID,Change Type,From State,To State,Reason,Impact on Sprint Goal,Decision Owner,ClickUp Link,GitHub Link
2026-05-11 10:00,Sprint 1,CLICKUP-SETUP,Task add,,Backlog,Created ClickUp board columns and added product backlog stories,No impact - establishes Sprint 1 process foundation,Kerem Ataç,,
2026-05-11 10:20,Sprint 1,SETUP-01,Task add,,To Do,Added project scaffold task to track repository setup,No impact - required setup work,Kerem Ataç,,
2026-05-11 10:35,Sprint 1,SETUP-01,Status transition,To Do,Done,Required repository folders were created,No impact - on track,Kerem Ataç,,
2026-05-11 10:45,Sprint 1,SETUP-02,Status transition,To Do,Done,requirements.txt .gitignore .env.example and README were created,No impact - on track,Kerem Ataç,,
2026-05-11 11:00,Sprint 1,SETUP-03,Status transition,To Do,Done,Initial FastAPI app was added in app/main.py,No impact - on track,Kerem Ataç,,
2026-05-11 11:10,Sprint 1,SETUP-04,Status transition,To Do,Done,Required service function signatures were added in app/services.py,No impact - prevents API signature mismatch risk,Kerem Ataç,,
2026-05-11 11:20,Sprint 1,SETUP-05,Status transition,To Do,Done,Smoke test was added under tests/,No impact - confirms initial import structure,Kerem Ataç,,
2026-05-11 11:40,Sprint 1,DB-01,Status transition,To Do,Done,Supabase PostgreSQL schema and seed data were created,No impact - supports Sprint 1 auth and authorization stories,Kerem Ataç,,
2026-05-11 12:00,Sprint 1,E11,Status transition,To Do,Done,Sprint 1 baseline board screenshot was captured,No impact - required board evidence saved,Kerem Ataç,,
2026-05-11 14:10,Sprint 1,TSK-01,Status transition,To Do,Done,users table was created in Supabase schema,No impact - required foundation for US-A and Sprint 1 authentication work,Kerem Ataç,,PR link later
2026-05-11 14:15,Sprint 1,TSK-02,Status transition,To Do,Done,instructor seed users were added to the users table,No impact - required foundation for instructor authentication testing,Kerem Ataç,,PR link later
2026-05-11 14:30,Sprint 1,TSK-03,Status transition,To Do,Done,Password hashing/checking implemented and manually verified,No impact - supports US-A,Kerem Ataç,,PR link later
2026-05-11 14:40,Sprint 1,TSK-04,Status transition,To Do,Done,instructorLogin implemented and manually verified,No impact - US-A on track,Kerem Ataç,,PR link later
2026-05-11 15:10,Sprint 1,TSK-05,Status transition,To Do,Done,/instructor/login FastAPI route was added and connected to instructorLogin(),No impact - completes instructor login endpoint for US-A,Kerem Ataç,,PR link later
2026-05-11 15:20,Sprint 1,TSK-06,Status transition,To Do,Done,instructor login tests were added and pytest passed locally,No impact - verifies US-A instructor authentication behavior,Kerem Ataç,,PR link later
2026-05-11 15:40,Sprint 1,TSK-07,Status transition,To Do,Done,student seed users were added to the users table,No impact - required foundation for student authentication testing,Kerem Ataç,,PR link later
2026-05-11 15:50,Sprint 1,TSK-08,Status transition,To Do,Done,studentLogin() was implemented using shared role-based login helper,No impact - US-B on track,Kerem Ataç,,PR link later
2026-05-11 16:00,Sprint 1,TSK-09,Status transition,To Do,Done,/student/login FastAPI route was added and connected to studentLogin(),No impact - completes student login endpoint for US-B,Kerem Ataç,,PR link later
2026-05-11 16:10,Sprint 1,TSK-10,Status transition,To Do,Done,student login tests were added and pytest passed locally,No impact - verifies US-B student authentication behavior,Kerem Ataç,,PR link later
2026-05-11 16:30,Sprint 1,TSK-11,Status transition,To Do,Done,courses table was created in Supabase schema,No impact - required foundation for course authorization,Kerem Ataç,,PR link later
2026-05-11 16:35,Sprint 1,TSK-12,Status transition,To Do,Done,course_enrollments table was created in Supabase schema,No impact - required foundation for role and course access checks,Kerem Ataç,,PR link later
2026-05-11 16:45,Sprint 1,TSK-13,Status transition,To Do,Done,require_user() was implemented to validate credentials on protected actions,No impact - US-C on track,Kerem Ataç,,PR link later
2026-05-11 16:50,Sprint 1,TSK-14,Status transition,To Do,Done,require_instructor() was implemented for server-side instructor role checks,No impact - US-C on track,Kerem Ataç,,PR link later
2026-05-11 16:55,Sprint 1,TSK-15,Status transition,To Do,Done,require_student() was implemented for server-side student role checks,No impact - US-C on track,Kerem Ataç,,PR link later
2026-05-11 17:00,Sprint 1,TSK-16,Status transition,To Do,Done,require_course_access() was implemented to enforce course enrollment authorization,No impact - US-C on track,Kerem Ataç,,PR link later
2026-05-11 17:10,Sprint 1,TSK-17,Status transition,To Do,Done,unauthorized access tests were added and pytest passed locally,No impact - verifies US-C authorization behavior,Kerem Ataç,,PR link later
2026-05-11 17:30,Sprint 1,TSK-18,Status transition,To Do,Done,listMyCourses() was implemented to return only courses assigned to the authenticated instructor,No impact - US-D on track,Kerem Ataç,,PR link later
2026-05-11 17:40,Sprint 1,TSK-19,Status transition,To Do,Done,/instructor/courses FastAPI route was added and connected to listMyCourses(),No impact - completes instructor course listing endpoint,Kerem Ataç,,PR link later
2026-05-11 17:50,Sprint 1,TSK-20,Status transition,To Do,Done,assigned-course tests were added and pytest passed locally,No impact - verifies US-D acceptance criteria,Kerem Ataç,,PR link later
2026-05-11 18:10,Sprint 1,TSK-21,Status transition,To Do,Done,activities table was created in Supabase schema,No impact - required foundation for activity listing,Kerem Ataç,,PR link later
2026-05-11 18:20,Sprint 1,TSK-22,Status transition,To Do,Done,listActivities() was implemented with instructor authorization and deterministic ordering,No impact - US-E on track,Kerem Ataç,,PR link later
2026-05-11 18:30,Sprint 1,TSK-23,Status transition,To Do,Done,/instructor/activities FastAPI route was added and connected to listActivities(),No impact - completes instructor activity listing endpoint,Kerem Ataç,,PR link later
2026-05-11 18:40,Sprint 1,TSK-24,Status transition,To Do,Done,activity listing tests were added and pytest passed locally,No impact - verifies deterministic activity ordering,Kerem Ataç,,PR link later
2026-05-11 19:00,Sprint 1,TSK-25,Status transition,To Do,Done,createActivity() was implemented with instructor authorization and database insert behavior,No impact - US-F on track,Kerem Ataç,,PR link later
2026-05-11 19:10,Sprint 1,TSK-26,Status transition,To Do,Done,required field validation was added for course_id activity_text and learning_objectives,No impact - verifies required field acceptance criteria,Kerem Ataç,,PR link later
2026-05-11 19:20,Sprint 1,TSK-27,Status transition,To Do,Done,duplicate activity_no validation was added for each course,No impact - verifies duplicate rejection acceptance criteria,Kerem Ataç,,PR link later
2026-05-11 19:30,Sprint 1,TSK-28,Status transition,To Do,Done,/instructor/activity/create FastAPI route was added and connected to createActivity(),No impact - completes activity creation endpoint,Kerem Ataç,,PR link later
2026-05-11 19:40,Sprint 1,TSK-29,Status transition,To Do,Done,create activity success failure and route tests were added and pytest passed locally,No impact - verifies US-F behavior,Kerem Ataç,,PR link later
2026-05-11 20:00,Sprint 1,TSK-30,Status transition,To Do,Done,startActivity() was implemented to set activity status to ACTIVE with instructor authorization,No impact - US-H on track,Kerem Ataç,,PR link later
2026-05-11 20:10,Sprint 1,TSK-31,Status transition,To Do,Done,endActivity() was implemented to set activity status to ENDED with instructor authorization,No impact - US-H on track,Kerem Ataç,,PR link later
2026-05-11 20:20,Sprint 1,TSK-32,Status transition,To Do,Done,logScore() was updated to reject score logging when activity status is ENDED,No impact - verifies ENDED activity rule,Kerem Ataç,,PR link later
2026-05-11 20:30,Sprint 1,TSK-33,Status transition,To Do,Done,/instructor/activity/start and /instructor/activity/end routes were added,No impact - completes activity state endpoints,Kerem Ataç,,PR link later
2026-05-11 20:40,Sprint 1,TSK-34,Status transition,To Do,Done,status transition and ENDED score-blocking tests were added and pytest passed locally,No impact - verifies US-H acceptance criteria,Kerem Ataç,,PR link later